Time interval,Failure count,Execution time (hr),Failure identification work (hr),Computer time failure identification(hr),
1,2,0.05,1.3,0.5,0
2,11,1,17.8,2.8,2
3,2,0.19,5,1,13
4,4,0.41,1.5,0.5,15
5,3,0.32,1.5,0.5,19
6,1,0.61,3,1,22
7,1,0.32,3,0.5,23
8,2,1.83,8,2.5,24
9,4,3.01,30,3,26
10,0,1.79,9,3,30
11,4,3.17,25,6,30
12,1,3.4,15,4,34
13,3,4.2,15,4,35
14,0,1.2,2,1,38
15,1,0.0531,4,1,38
16,1,0.0619,20,0,39
17,2,0.158,1,0.5,40
18,1,0.081,1,0.5,42
19,8,1.046,32,2,43
20,9,1.75,32,5,51
21,6,2.96,24,4.5,60
22,7,4.97,24,2.5,66
23,4,0.42,24,4,73
24,3,4.7,30,2,77
25,0,0.9,0,0,80
26,4,1.5,8,4,80
27,1,2,8,6,84
28,0,1.2,12,4,85
29,2,1.2,20,6,85
30,2,2.2,32,10,87
31,3,7.6,24,8,89
,2.967741935,1.751612903,,,92
