,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,None,-3649.625279,7303.250557,7306.118532,67368.10109,69,0,0
2,IFR SB,E,-1248.36272,2502.725439,2507.027401,58099.1666,68.99999676,0.536035915,0.668452028
3,IFR SB,F,-1210.63412,2427.268239,2431.570201,55241.32393,68.99999941,0.554605477,0.678956924
4,IFR SB,C,-970.3045745,1946.609149,1950.911111,50466.22776,68.99999919,0.622663779,0.745872655
5,IFR SB,"E, F",-1062.686203,2133.372407,2139.108355,55191.54125,68.99986667,0.585504648,0.719877378
6,IFR SB,"E, C",-968.2446929,1944.489386,1950.225335,50442.15,68.9999996,0.622994862,0.746185608
7,IFR SB,"E, F, C",-899.2816245,1808.563249,1815.733185,50646.65097,68.99999901,0.636445209,0.76501795
8,IFRGSB,None,-74.98081964,155.9616393,160.2636009,917.7559157,68.9999977,0.994996721,0.995160538
9,IFRGSB,E,-72.67289959,153.3457992,159.081748,1114.259165,105.9366063,0.99455458,0.99566181
10,IFRGSB,F,-59.15500269,126.3100054,132.0459542,756.4595442,99.51040444,0.99871636,0.999427442
11,IFRGSB,"E, F",-59.14740481,128.2948096,135.4647456,740.7913265,73.4533714,0.998587324,0.999051107
12,IFRGSB,"E, C",-71.2386465,152.477293,159.647229,1598.325069,591.1948888,0.992854391,0.995682893
13,IFRGSB,"F, C",-59.15131739,128.3026348,135.4725708,745.5942188,80.05789058,0.998568543,0.999050017
14,IFRGSB,"E, F, C",-67.01264557,146.0252911,154.6292144,605.3169732,205.5210192,0.99726198,0.996961376
15,S,None,-74.93313304,155.8662661,160.1682277,928.4217224,147.8091453,0.994966789,0.995173815
16,S,E,-72.66713256,153.3342651,159.0702139,1123.851597,210.9003125,0.994519906,0.995663417
17,S,F,-59.66162479,127.3232496,133.0591984,759.1699013,92.28238274,0.998600403,0.999286314
18,S,C,-71.89850089,151.7970018,157.5329506,1344.722767,98.40826263,0.993854334,0.995877532
19,S,"E, F",-59.6608784,129.3217568,136.4916928,754.7218257,81.2410467,0.99842797,0.99890807
20,S,"E, C",-71.20403638,152.4080728,159.5780088,1409.778264,563.2312663,0.993566837,0.995692535
21,S,"F, C",-59.65296185,129.3059237,136.4758597,745.4627724,90.39609002,0.998464255,0.998910276
22,S,"E, F, C",-59.65290542,131.3058108,139.9097341,744.4948378,487.5698949,0.998278661,0.99853184
23,DW2,None,-92.57072948,189.141459,192.0094334,2031.485619,154.8068894,0.987346253,0.990402178
24,DW2,E,-91.17481425,188.3496285,192.6515901,2138.682084,219.4518405,0.987047651,0.990651591
25,DW2,F,-83.55361167,173.1072233,177.409185,2301.161031,11.61076261,0.988031792,0.992773587
26,DW2,C,-89.074387,184.148774,188.4507356,2208.983485,7.566689453,0.987223425,0.99123642
27,DW2,"E, F",-83.55128392,175.1025678,180.8385167,2301.402206,4.757958759,0.987842151,0.992631458
28,DW2,"E, C",-88.98539879,185.9707976,191.7067464,2246.487865,32.08230542,0.98691251,0.991117696
29,DW2,"F, C",-83.36005709,174.7201142,180.456063,2286.409807,6.31553711,0.987938168,0.992684727
30,DW2,"E, F, C",-83.32461942,176.6492388,183.8191749,2279.095598,37.07076233,0.987783702,0.992316147
31,DW3,E,-72.08773972,152.1754794,157.9114283,1087.948883,7.716596086,0.994775211,0.995824816
32,DW3,F,-57.0996286,122.1992572,127.935206,528.0457018,16.02101504,1,1
33,DW3,C,-71.82344847,151.6468969,157.3828458,1307.652535,71.78282763,0.994008663,0.995898439
34,DW3,"E, C",-70.9720163,151.9440326,159.1139686,1349.864838,47.32136838,0.993839392,0.995757168
35,GM,None,-74.9817148,153.9634296,156.831404,917.0677319,87.74677905,0.995188334,0.995299544
36,GM,E,-72.70005321,151.4001064,155.702068,1114.328308,811.2345708,0.994737875,0.995795579
37,GM,F,-59.66172246,125.3234449,129.6254065,759.6549463,87.90325324,0.998787794,0.999425883
38,GM,C,-71.94596362,149.8919272,154.1938889,1336.197183,62.36728628,0.994065534,0.996005542
39,GM,"E, F",-59.66096675,127.3219335,133.0578823,755.1557557,102.7765505,0.998615554,0.999286497
40,GM,"E, C",-71.23700013,150.4740003,156.2099491,1402.575997,1320.008679,0.993776116,0.996061803
41,GM,"F, C",-59.65305631,127.3061126,133.0420614,745.9384418,110.4222695,0.998651682,0.999288701
42,GM,"E, F, C",-59.65299738,129.3059948,136.4759308,744.9429278,99.51299091,0.998466192,0.998910266
43,NB2,None,-83.71412711,171.4282542,174.2962286,1599.496357,81.07916503,0.990811908,0.99286815
44,NB2,E,-82.2123709,170.4247418,174.7267034,1794.365808,568.5488492,0.990207492,0.993147033
45,NB2,F,-73.31282715,152.6256543,156.9276159,1732.770155,90.26590859,0.992296743,0.995624962
46,NB2,C,-80.4604656,166.9209312,171.2228928,1905.008717,490.8730496,0.990159582,0.993634822
47,NB2,"E, F",-73.27581008,154.5516202,160.287569,1705.839329,154.1576159,0.992215978,0.99549386
48,NB2,"E, C",-80.34708791,168.6941758,174.4301246,1958.543406,218.7989259,0.989793803,0.993524039
49,NB2,"F, C",-73.27630188,154.5526038,160.2885526,1750.857706,18.55272921,0.992047494,0.995493723
50,NB2,"E, F, C",-73.20436721,156.4087344,163.5786704,1714.755191,13.13988051,0.992008327,0.99513531
51,TL,None,-74.9817148,155.9634296,160.2653912,917.0677319,7.735225563,0.994999108,0.995160288
52,TL,E,-72.69717594,153.3943519,159.1303007,1110.390287,68.46604934,0.99456398,0.995655048
53,TL,F,-59.66172246,127.3234449,133.0593937,759.6549463,10.43858743,0.998598568,0.999286287
54,TL,C,-71.58737895,151.1747579,156.9107067,1288.20018,77.57114093,0.994130728,0.9959642
55,TL,"E, F",-59.66096675,129.3219335,136.4918695,755.1557572,11.44808935,0.998426329,0.998908046
56,TL,"E, C",-71.00164872,152.0032974,159.1732335,1373.028823,26.42046504,0.993746563,0.995748913
57,TL,"F, C",-59.65305631,129.3061126,136.4760486,745.9384418,108.8932256,0.998462456,0.998910249
